
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace01_74_rl                   2.08944e-06
ch_trace01_74                      2.08944e-06
ch_trace01_75_rl                   2.08943e-06
ch_trace01_75                      2.08943e-06
ch_trace01_76_rl                   2.08942e-06
ch_trace01_76                      2.08942e-06
ch_trace01_77_rl                   2.08941e-06
ch_trace01_77                      2.08941e-06
ch_trace01_78_rl                    2.0894e-06
ch_trace01_78                       2.0894e-06
ch_trace01_79_rl                   2.08939e-06
ch_trace01_79                      2.08939e-06
ch_trace01_80_rl                   2.08938e-06
after_trace01                      2.08938e-06
ch_trace02_1_rl                    2.08937e-06
ch_trace02_1                       2.08937e-06
ch_trace02_2_rl                    2.08936e-06
ch_trace02_2                       2.08936e-06
ch_trace02_3_rl                    2.08935e-06
ch_trace02_3                       2.08935e-06
ch_trace02_4_rl                    2.08933e-06
ch_trace02_4                       2.08933e-06
ch_trace02_5_rl                    2.08932e-06
ch_trace02_5                       2.08932e-06
ch_trace02_6_rl                    2.08931e-06
ch_trace02_6                       2.08931e-06
ch_trace02_7_rl                     2.0893e-06
ch_trace02_7                        2.0893e-06
ch_trace02_8_rl                    2.08929e-06
ch_trace02_8                       2.08929e-06
ch_trace02_9_rl                    2.08928e-06
ch_trace02_9                       2.08928e-06
ch_trace02_10_rl                   2.08927e-06
ch_trace02_10                      2.08927e-06
ch_trace02_11_rl                   2.08926e-06
ch_trace02_11                      2.08926e-06
ch_trace02_12_rl                   2.08925e-06
ch_trace02_12                      2.08925e-06
ch_trace02_13_rl                   2.08924e-06
ch_trace02_13                      2.08924e-06
ch_trace02_14_rl                   2.08923e-06
ch_trace02_14                      2.08923e-06
ch_trace02_15_rl                   2.08921e-06
ch_trace02_15                      2.08921e-06
ch_trace02_16_rl                    2.0892e-06
ch_trace02_16                       2.0892e-06
ch_trace02_17_rl                   2.08919e-06
ch_trace02_17                      2.08919e-06
ch_trace02_18_rl                   2.08918e-06
ch_trace02_18                      2.08918e-06
ch_trace02_19_rl                   2.08917e-06
ch_trace02_19                      2.08917e-06
ch_trace02_20_rl                   2.08916e-06
ch_trace02_20                      2.08916e-06
ch_trace02_21_rl                   2.08915e-06
ch_trace02_21                      2.08915e-06
ch_trace02_22_rl                   2.08914e-06
ch_trace02_22                      2.08914e-06
ch_trace02_23_rl                   2.08913e-06
ch_trace02_23                      2.08913e-06
ch_trace02_24_rl                   2.08912e-06
ch_trace02_24                      2.08912e-06
ch_trace02_25_rl                   2.08911e-06
ch_trace02_25                      2.08911e-06
ch_trace02_26_rl                   2.08909e-06
ch_trace02_26                      2.08909e-06
ch_trace02_27_rl                   2.08908e-06
ch_trace02_27                      2.08908e-06
ch_trace02_28_rl                   2.08907e-06
ch_trace02_28                      2.08907e-06
ch_trace02_29_rl                   2.08906e-06
ch_trace02_29                      2.08906e-06
ch_trace02_30_rl                   2.08905e-06
ch_trace02_30                      2.08905e-06
ch_trace02_31_rl                   2.08904e-06
ch_trace02_31                      2.08904e-06
ch_trace02_32_rl                   2.08903e-06
ch_trace02_32                      2.08903e-06
ch_trace02_33_rl                   2.08902e-06
ch_trace02_33                      2.08902e-06
ch_trace02_34_rl                   2.08901e-06
ch_trace02_34                      2.08901e-06
ch_trace02_35_rl                     2.089e-06
ch_trace02_35                        2.089e-06
ch_trace02_36_rl                   2.08899e-06
ch_trace02_36                      2.08899e-06
ch_trace02_37_rl                   2.08897e-06
ch_trace02_37                      2.08897e-06
ch_trace02_38_rl                   2.08896e-06
ch_trace02_38                      2.08896e-06
ch_trace02_39_rl                   2.08895e-06
ch_trace02_39                      2.08895e-06
ch_trace02_40_rl                   2.08894e-06
ch_trace02_40                      2.08894e-06
ch_trace02_41_rl                   2.08893e-06
ch_trace02_41                      2.08893e-06
ch_trace02_42_rl                   2.08892e-06
ch_trace02_42                      2.08892e-06
ch_trace02_43_rl                   2.08891e-06
ch_trace02_43                      2.08891e-06
ch_trace02_44_rl                    2.0889e-06
ch_trace02_44                       2.0889e-06
ch_trace02_45_rl                   2.08889e-06
ch_trace02_45                      2.08889e-06
ch_trace02_46_rl                   2.08888e-06
ch_trace02_46                      2.08888e-06
ch_trace02_47_rl                   2.08887e-06
ch_trace02_47                      2.08887e-06
ch_trace02_48_rl                   2.08885e-06
ch_trace02_48                      2.08885e-06
ch_trace02_49_rl                   2.08884e-06
ch_trace02_49                      2.08884e-06
ch_trace02_50_rl                   2.08883e-06
ch_trace02_50                      2.08883e-06
ch_trace02_51_rl                   2.08882e-06
ch_trace02_51                      2.08882e-06
ch_trace02_52_rl                   2.08881e-06
ch_trace02_52                      2.08881e-06
ch_trace02_53_rl                    2.0888e-06
ch_trace02_53                       2.0888e-06
ch_trace02_54_rl                   2.08879e-06
ch_trace02_54                      2.08879e-06
ch_trace02_55_rl                   2.08878e-06
ch_trace02_55                      2.08878e-06
