channel_id,source,source_family,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group,validation_split,error
ntwk4_n_6d3c414e,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4_n.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,36520,2f8ed2cb02636c84c0e16647d4bc4de3cf5b40f8d55c37ea231746a0cff5b262,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-2.2729098223189648,-2.358398807529904,1,,calibration,
ntwk_arbitrary_frequency_3e8760a8,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_arbitrary_frequency.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,850,0c3837d7400ba2d9368a9b159f99b1db8537eec94523e007763014eb5973d0eb,2,ok,2,4,1.0,20.0,50;50;50;50;50;50;50;50,True,S12,1,2,-0.5168994500992495,-14.255443398272575,1,,holdout,
ntwk_noise_65eeb4e4,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,1174,62ae8ac71dead985ac553b50981f2f3ad405f24d4d5d4a576675804cd9b36167,2,ok,2,11,1000000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,20.0,-600.0,1,,calibration,
ntwk_noise_interp_a132609e,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise_interp.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,1320,706aa6f1695606351a30ad50589f02f15eef85aae22a59838c4fc823edacbea5,2,ok,2,13,100000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,20.0,-600.0,1,,calibration,
ntwk1_e20029da,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,15633,bd810424babef70202e9baacb816b2ab9f39445a5ce069a5d2d64fde045e172b,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.5168994500992495,-1.5439350755393266,1,,calibration,
ntwk2_24638a5f,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,15633,0c3fb04428e0119205f009c2c7ccef15f54f60d4de31fbd0c95f194b5ec76dd8,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.4262984826709254,-11.983177274248833,1,,calibration,
ntwk3_8f8a2430,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,15633,2b64475c4cef3637b4b6137d30c8d55340e6e46f03528d3f5faefe9d9397b216,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.9613313855320177,-1.5034186172598254,1,,holdout,
PowerSI_example_8f3cd70a,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\PowerSI_example.S8P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/PowerSI_example.S8P,764646,e794ede9b4e44423506e50efc3b7251c35375f4dbd4856fcfdb6ec961557daef,8,unsupported_v1,8,300,10000000.0,3000000000.0,50;50;50;50;50;50;50;50...,False,S48,4,8,-0.02835391654274945,-0.014822811405048266,1,,holdout,
RS_ZNB8_23e14c3f,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZNB8.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,858823,8c78bcb7bf944791fba3c99bfa9f196e62b02da7ed192f9e8017f9a08e32e217,4,ok,4,1001,40000000.0,60000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-28.779551678563692,-0.11767908466132265,1,,calibration,
RS_ZVR_1.20_beta_f_6cd9e598,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZVR_1.20_beta_f.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,771,6c2fcd7f899b7905742f0c25ad46f58318408913796c7684f6c08e58c6c4f2fa,2,ok,2,1,1000.0,1000.0,50;50,True,S21,2,1,-2.0000000000978162e-05,-9.999999999621458e-06,1,,calibration,
