time_ns,v_typ,v_min,v_max
1.6817,2.2115,2.349833333,1.789166667
1.6877,2.241333333,2.372166667,1.816833333
1.6937,2.2705,2.394166667,1.844666667
1.6997,2.3005,2.4165,1.873666667
1.7057,2.3305,2.4385,1.905166667
1.7117,2.359666667,2.4605,1.936833333
1.7177,2.388333333,2.482833333,1.968166667
1.7237,2.417166667,2.504166667,1.999833333
1.7297,2.445833333,2.5215,2.031833333
1.7357,2.472,2.5395,2.064333333
1.7417,2.4965,2.5565,2.096833333
1.7477,2.521,2.5745,2.129333333
1.7538,2.545,2.5915,2.161666667
1.7598,2.57,2.6095,2.194333333
1.7658,2.594,2.6265,2.227333333
1.7718,2.6185,2.6445,2.2605
1.7778,2.643,2.6615,2.294
1.7838,2.6645,2.678666667,2.327
1.7898,2.6835,2.693,2.36
1.7958,2.702,2.707166667,2.393
1.8018,2.7205,2.7215,2.426
1.8078,2.7395,2.735833333,2.459
1.8138,2.758,2.75,2.4915
1.8198,2.7765,2.764166667,2.523833333
1.8258,2.7955,2.7785,2.556166667
1.8318,2.8135,2.792833333,2.5865
1.8378,2.831,2.807166667,2.616
1.8438,2.848,2.821333333,2.6455
1.8498,2.8635,2.835666667,2.6745
1.8559,2.8785,2.849833333,2.703833333
1.8619,2.894,2.862166667,2.733333333
1.8679,2.909166667,2.8725,2.758
1.8739,2.9245,2.882666667,2.781166667
1.8799,2.938833333,2.893,2.804333333
1.8859,2.951666667,2.903333333,2.827333333
1.8919,2.964,2.9135,2.8505
1.8979,2.976,2.923833333,2.8735
1.9039,2.988,2.934,2.896666667
1.9099,3.0005,2.944333333,2.918333333
1.9159,3.013,2.9545,2.935666667
1.9219,3.025,2.964833333,2.952666667
1.9279,3.037,2.974666667,2.969666667
1.9339,3.0495,2.982666667,2.986666667
1.9399,3.061333333,2.990666667,3.003666667
1.9459,3.070166667,2.998666667,3.020666667
1.952,3.079,3.006833333,3.0375
1.958,3.087666667,3.015,3.0545
1.964,3.0965,3.023,3.0715
1.97,3.105166667,3.031,3.087666667
1.976,3.114,3.039,3.101
1.982,3.122666667,3.047166667,3.1135
1.988,3.1315,3.055333333,3.126
1.994,3.140333333,3.063333333,3.139
2.0,3.147857143,3.072,3.152571429
2.006,3.153333333,3.080666667,3.166
2.012,3.158166667,3.085833333,3.179
2.018,3.163166667,3.087833333,3.1915
2.024,3.168166667,3.089833333,3.204
2.03,3.173166667,3.091833333,3.217
2.036,3.178166667,3.093833333,3.228
2.042,3.183166667,3.095833333,3.2365
2.048,3.188166667,3.097833333,3.244833333
2.0541,3.193166667,3.099833333,3.253166667
2.0601,3.198,3.101833333,3.2615
2.0661,3.203,3.103833333,3.269833333
2.0721,3.208,3.105833333,3.278333333
2.0781,3.213,3.107833333,3.286666667
2.0841,3.218,3.109833333,3.294833333
2.0901,3.223,3.111833333,3.303333333
2.0961,3.228,3.1145,3.311666667
2.1021,3.231166667,3.117,3.318
2.1081,3.232833333,3.12,3.322833333
2.1141,3.2345,3.1225,3.327333333
2.1201,3.236333333,3.125333333,3.332
2.1261,3.238,3.128,3.336833333
2.1321,3.239666667,3.130666667,3.341333333
2.1381,3.2415,3.1335,3.346
2.1441,3.243166667,3.136,3.350833333
2.1502,3.244833333,3.139,3.355333333
2.1562,3.2465,3.141333333,3.36
2.1622,3.248333333,3.141833333,3.364833333
2.1682,3.25,3.141,3.369333333
2.1742,3.251666667,3.14,3.374
2.1802,3.2535,3.139166667,3.378666667
2.1862,3.255166667,3.1385,3.383166667
2.1922,3.256833333,3.137666667,3.386166667
2.1982,3.2585,3.136833333,3.388
2.2042,3.260166667,3.136,3.389833333
2.2102,3.261,3.135,3.3915
2.2162,3.262,3.135333333,3.3935
2.2222,3.262833333,3.137333333,3.395166667
2.2282,3.263666667,3.1395,3.397
2.2342,3.2645,3.1415,3.398833333
2.2402,3.265333333,3.143666667,3.4005
2.2462,3.266333333,3.145833333,3.402333333
2.2523,3.267166667,3.147833333,3.404166667
2.2583,3.268,3.149833333,3.405833333
2.2643,3.269,3.152166667,3.407666667
2.2703,3.269833333,3.154166667,3.4095
2.2763,3.270666667,3.155666667,3.411333333
2.2823,3.2715,3.1545,3.412833333
2.2883,3.272333333,3.1525,3.414
2.2943,3.273166667,3.150833333,3.415
2.3003,3.274,3.149,3.416
2.3063,3.275,3.147166667,3.417
2.3123,3.275,3.1455,3.418
2.3183,3.275,3.1435,3.419
2.3243,3.275,3.141666667,3.42
2.3303,3.275,3.1425,3.420833333
2.3363,3.275,3.144333333,3.421833333
2.3423,3.275,3.146166667,3.422833333
2.3483,3.275,3.147833333,3.423833333
2.3544,3.275,3.149833333,3.424833333
2.3604,3.275,3.1515,3.425833333
2.3664,3.275,3.1535,3.426833333
2.3724,3.275,3.155333333,3.427833333
2.3784,3.275,3.1555,3.428833333
2.3844,3.275,3.153833333,3.429
2.3904,3.275,3.152,3.4295
2.3964,3.275666667,3.150166667,3.43
2.4024,3.276,3.148333333,3.43
2.4084,3.276,3.1465,3.43
2.4144,3.2765,3.1445,3.43
2.4204,3.277,3.143,3.43
2.4264,3.277,3.144,3.43
2.4324,3.277333333,3.146333333,3.43
2.4384,3.278,3.148666667,3.431
2.4444,3.278,3.149,3.431
2.4505,3.278,3.149,3.431
2.4565,3.278,3.149,3.431
2.4625,3.278,3.149,3.431
2.4685,3.2785,3.149,3.4315
2.4745,3.279,3.149,3.432
2.4805,3.279,3.149,3.432833333
2.4865,3.279,3.148333333,3.433
2.4925,3.279,3.148,3.433333333
2.4985,3.279,3.148,3.434
2.5045,3.279,3.148,3.434
2.5105,3.279,3.148,3.434833333
2.5165,3.279,3.148,3.435
2.5225,3.279,3.148,3.435
2.5285,3.279,3.148,3.435166667
2.5345,3.279,3.148,3.436
2.5405,3.28,3.148,3.436
2.5465,3.28,3.148,3.436
2.5526,3.28,3.148,3.436
2.5586,3.28,3.148,3.437
2.5646,3.28,3.148,3.437
2.5706,3.28,3.148,3.437
2.5766,3.28,3.148,3.437
2.5826,3.280833333,3.148,3.437833333
2.5886,3.281,3.148,3.438
2.5946,3.281,3.147666667,3.438
2.6006,3.281,3.147,3.438
2.6066,3.281,3.147,3.4385
2.6126,3.281,3.147,3.439
2.6186,3.281,3.147,3.439
2.6246,3.281,3.147,3.439
2.6306,3.281,3.147,3.439
2.6366,3.281333333,3.147,3.439666667
2.6426,3.282,3.147,3.44
2.6486,3.282,3.147,3.44
2.6547,3.282,3.147,3.44
2.6607,3.282,3.147,3.44
2.6667,3.282,3.147,3.441
2.6727,3.282,3.147,3.441
2.6787,3.282,3.147,3.441
2.6847,3.282,3.147,3.441
2.6907,3.282,3.147,3.441333333
2.6967,3.282,3.147,3.442
2.7027,3.282666667,3.146333333,3.442
2.7087,3.283,3.146,3.442
2.7147,3.283,3.146,3.442
2.7207,3.283,3.146,3.442166667
2.7267,3.283,3.146,3.443
2.7327,3.283,3.146,3.443
2.7387,3.283,3.146,3.443
2.7447,3.283,3.146,3.443
2.7508,3.283,3.146,3.443
2.7568,3.283,3.146,3.443333333
2.7628,3.283,3.146,3.444
2.7688,3.283,3.146,3.444
2.7748,3.283833333,3.146,3.444
2.7808,3.284,3.146,3.444
2.7868,3.284,3.146,3.444
2.7928,3.284,3.146,3.444333333
2.7988,3.284,3.146,3.445
2.8048,3.284,3.146,3.445
2.8108,3.284,3.146,3.445
2.8168,3.284,3.145166667,3.445
2.8228,3.284,3.145,3.445
2.8288,3.284,3.145,3.4455
2.8348,3.284,3.145,3.446
2.8408,3.284,3.145,3.446
2.8468,3.284833333,3.145,3.446
2.8529,3.285,3.145,3.446
2.8589,3.285,3.145,3.446
2.8649,3.285,3.145,3.446
2.8709,3.285,3.145,3.446833333
2.8769,3.285,3.145,3.447
2.8829,3.285,3.145,3.447
2.8889,3.285,3.145,3.447
2.8949,3.285,3.145,3.447
2.9009,3.285,3.145,3.447
2.9069,3.285,3.144833333,3.447
2.9129,3.285,3.144,3.448
2.9189,3.285,3.144,3.448
2.9249,3.285333333,3.144,3.448
2.9309,3.286,3.144,3.448
2.9369,3.286,3.144,3.448
2.9429,3.286,3.144,3.448
2.9489,3.286,3.144,3.448333333
2.955,3.286,3.144,3.449
2.961,3.286,3.144,3.449
2.967,3.286,3.144,3.449
2.973,3.286,3.144,3.449
2.979,3.286,3.144,3.449
2.985,3.286,3.144,3.449
2.991,3.286,3.144,3.449166667
2.997,3.286,3.144,3.45
