case,xyce_ref_rc,xyce_ref_timed_out,xyce_ref_wall_s,xyce_pybis_rc,xyce_pybis_timed_out,xyce_pybis_wall_s,xyce_ref_output,xyce_pybis_output,pre_high,low_gap,post_high,length_cm,loss_scale,n_sections,target_rise_ns,target_fall_ns,py_rise_max_v,py_rise_max_ns,ref_rise_max_v,ref_rise_max_ns,rise_maxabs_py_minus_ref_v,rise_maxabs_py_minus_ref_abs_v,rise_maxabs_ns,py_tx_rise_max_v,ref_tx_rise_max_v,py_fall_min_v,ref_fall_min_v,fall_maxabs_py_minus_ref_v,fall_maxabs_py_minus_ref_abs_v,fall_maxabs_ns
hist_h2_g4_p1_30cm_loss5,0,False,0.14072465896606445,0,False,2.9323909282684326,True,True,2,4,1,30,5.0,10,20.1,22.1,0.0313637028,20.310000000000002,0.00991012871,20.98,0.048149357599999026,0.048149357599999026,20.339999999999876,0.0458850522,0.747020796,-0.0181682356,-0.0204836435,-0.275201779859397,0.275201779859397,23.497999999999276
hist_h2_g4_p2_30cm_loss5,0,False,0.144256591796875,0,False,3.262324571609497,True,True,2,4,2,30,5.0,10,20.1,24.100000000000005,0.0313637028,20.310000000000002,0.00991012871,20.98,0.048149357599999026,0.048149357599999026,20.339999999999876,0.0458850522,0.747020796,0.292703198,1.01864044,-0.7267790339999998,0.7267790339999998,24.100000000000005
hist_h2_g4_p3_30cm_loss5,0,False,0.15086102485656738,0,False,3.479621171951294,True,True,2,4,3,30,5.0,10,20.1,26.1,0.0313637028,20.310000000000002,0.00991012871,20.98,0.048149357599999026,0.048149357599999026,20.339999999999876,0.0458850522,0.747020796,1.34755394,1.39767566,-0.06322279999999925,0.06322279999999925,26.1
hist_h2_g4_p4_30cm_loss5,0,False,0.153397798538208,0,False,3.6656484603881836,True,True,2,4,4,30,5.0,10,20.1,28.100000000000005,0.0313637028,20.310000000000002,0.00991012871,20.98,0.048149357599999026,0.048149357599999026,20.339999999999876,0.0458850522,0.747020796,1.38404054,1.41770589,-0.05707734999999925,0.05707734999999925,28.829999999999625
hist_h3_g1_p1_30cm_loss5,0,False,0.13764142990112305,0,False,2.452848434448242,True,True,3,1,1,30,5.0,10,16.1,18.100000000000005,1.41882778,16.42,1.31462749,16.11,1.2035593008999905,1.2035593008999905,16.839999999999616,0.0692374597,0.873812885,-0.0515696109,-0.0569305839,-0.3347956339591018,0.3347956339591018,19.497999999999276
hist_h3_g1_p2_30cm_loss5,0,False,0.14314842224121094,0,False,2.7681996822357178,True,True,3,1,2,30,5.0,10,16.1,20.1,1.41882778,16.42,1.31462749,16.11,1.2035593008999905,1.2035593008999905,16.839999999999616,0.0692374597,0.873812885,0.3147977,1.02157807,-0.7067803699999999,0.7067803699999999,20.1
hist_h3_g1_p3_30cm_loss5,0,False,0.14098501205444336,0,False,2.9987123012542725,True,True,3,1,3,30,5.0,10,16.1,22.1,1.41882778,16.42,1.31462749,16.11,1.2035593008999905,1.2035593008999905,16.839999999999616,0.0692374597,0.873812885,1.32246398,1.40283941,-0.09004572999999927,0.09004572999999927,22.1
hist_h3_g1_p4_30cm_loss5,0,False,0.14768671989440918,0,False,3.2457845211029053,True,True,3,1,4,30,5.0,10,16.1,24.100000000000005,1.41882778,16.42,1.31462749,16.11,1.2035593008999905,1.2035593008999905,16.839999999999616,0.0692374597,0.873812885,1.37980794,1.42209487,-0.06405883999999662,0.06405883999999662,24.809999999999633
hist_h3_g2_p1_30cm_loss5,0,False,0.13742923736572266,0,False,2.758165121078491,True,True,3,2,1,30,5.0,10,18.100000000000005,20.1,0.129264519,18.110000000000003,0.0896197614,18.22,0.16277167749997026,0.16277167749997026,18.729999999999677,0.105722846,0.557370958,-0.0410757258,-0.0336125234,-0.2564971199374466,0.2564971199374466,21.497999999999273
hist_h3_g2_p2_30cm_loss5,0,False,0.14101672172546387,0,False,3.0248801708221436,True,True,3,2,2,30,5.0,10,18.100000000000005,22.1,0.129264519,18.110000000000003,0.0896197614,18.22,0.16277167749997026,0.16277167749997026,18.729999999999677,0.105722846,0.557370958,0.281186496,1.0433753,-0.7661003829999987,0.7661003829999987,22.1
