case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,15,00->11,90.10044411942015,3696.9710004771946,930.5792648738648
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,16,11->00,94.10042925169668,2408.7112001408514,457.26529798148965
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,17,00->10,100.10044445478103,3693.1997841630905,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,18,01->01,102.1004361559252,2274.2811157729375,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,19,10->10,104.1004424205906,3646.35240258818,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,20,01->01,106.10044336739004,2282.0743089508046,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,21,10->11,108.10044220718308,3632.157430925857,1031.4330389474485
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,22,11->00,112.10042952228362,2410.2044677035537,432.4469334413227
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,23,00->10,122.10044428624231,3700.111297801768,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,24,01->01,124.10043447067659,2279.1465664929256,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,25,10->11,126.10044204668995,3650.8076265071504,1059.5061245250852
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,26,11->00,134.10043544737704,2428.128136437514,432.03673841398006
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,27,00->11,140.10044438275864,3690.220751195172,1051.60321553438
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,28,11->01,146.10043409960028,2416.5360009605606,437.6850009460986
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,29,10->11,148.1004420298385,3589.88222899945,994.5171577250901
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,30,11->01,152.100427389542,2405.4565630141583,417.7826763393185
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,31,10->11,154.10044188848713,3592.6998262632405,1004.9497183331747
