hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
WARN,Ch10_35_8F_f4_71660fc2,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_8F_f4_71660fc2/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_8F_f4_71660fc2,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_8F_f4_71660fc2/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_8F_f4_71660fc2,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_8F_f4_71660fc2/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f3_00c873e8,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f3_00c873e8/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f3_00c873e8,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f3_00c873e8/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f3_00c873e8,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f3_00c873e8/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f4_817c067b,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f4_817c067b/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f4_817c067b,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f4_817c067b/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f4_817c067b,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f4_817c067b/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f7_49b5a47c,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f7_49b5a47c/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f7_49b5a47c,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f7_49b5a47c/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_8F_f7_49b5a47c,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_8F_f7_49b5a47c/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_5F3N_f3_5fb04c7e,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_5F3N_f3_5fb04c7e/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_5F3N_f3_5fb04c7e,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_5F3N_f3_5fb04c7e/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_5F3N_f3_5fb04c7e,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_5F3N_f3_5fb04c7e/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_5F3N_f4_dd88a4a4,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_5F3N_f4_dd88a4a4/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_5F3N_f4_dd88a4a4,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_5F3N_f4_dd88a4a4/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_5F3N_f4_dd88a4a4,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_5F3N_f4_dd88a4a4/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f3_9c3ef384,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f3_9c3ef384/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f3_9c3ef384,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f3_9c3ef384/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f3_9c3ef384,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f3_9c3ef384/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f7_dca3d683,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f7_dca3d683/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f7_dca3d683,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f7_dca3d683/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch8_30_8F_f7_dca3d683,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch8_30_8F_f7_dca3d683/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_8F_f4_a831b05b,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_8F_f4_a831b05b/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_8F_f4_a831b05b,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_8F_f4_a831b05b/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch9_33_8F_f4_a831b05b,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch9_33_8F_f4_a831b05b/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
