case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len10cm_loss1,rise,11,10->11,76.10044523104624,2255.978792181572,1024.2234375260923
ui2_len10cm_loss1,fall,12,11->01,82.10042592547454,955.689577422766,170.15863218065618
ui2_len10cm_loss1,rise,13,10->10,84.10044519957331,2256.1369504858794,nan
ui2_len10cm_loss1,fall,14,01->00,86.10042464482805,883.5786136928414,nan
ui2_len10cm_loss1,rise,15,00->11,90.10044825122941,2274.313589858956,935.0717737564256
ui2_len10cm_loss1,fall,16,11->00,94.10042585022002,949.3978444489821,172.02180229890712
ui2_len10cm_loss1,rise,17,00->10,100.10044859725014,2273.286919459057,nan
ui2_len10cm_loss1,fall,18,01->01,102.1004246965504,885.1315517118096,nan
ui2_len10cm_loss1,rise,19,10->10,104.1004456755186,2252.127916691676,nan
ui2_len10cm_loss1,fall,20,01->01,106.10042465423274,884.1389986738486,nan
ui2_len10cm_loss1,rise,21,10->11,108.1004456783167,2251.7627421117136,1009.6989630808915
ui2_len10cm_loss1,fall,22,11->00,112.10042576242657,949.5721290134289,171.25770064181913
ui2_len10cm_loss1,rise,23,00->10,122.10044757562892,2273.6458490373384,nan
ui2_len10cm_loss1,fall,24,01->01,124.100424688819,885.2058021385071,nan
ui2_len10cm_loss1,rise,25,10->11,126.10044566988222,2251.809154908146,1006.5998018449885
ui2_len10cm_loss1,fall,26,11->00,134.10042589941733,956.1855136404432,170.06067384386614
ui2_len10cm_loss1,rise,27,00->11,140.10044863553387,2273.1981415848527,932.0666442844403
ui2_len10cm_loss1,fall,28,11->01,146.10042589165124,955.6632794964613,170.17646452029047
ui2_len10cm_loss1,rise,29,10->11,148.10044519116718,2256.0585417087404,1025.4286753982526
ui2_len10cm_loss1,fall,30,11->01,152.10042575741275,949.5877424664678,171.4779334034065
ui2_len10cm_loss1,rise,31,10->11,154.10044517831628,2256.0500886730865,1025.9186669365563
ui2_len10cm_loss1,fall,32,11->00,158.10042575936362,949.5898943138333,171.46072227032423
ui2_len10cm_loss1,rise,33,00->10,162.10044833287654,2274.1053447201166,nan
ui2_len10cm_loss1,fall,34,01->00,164.10042468508138,885.340122397386,nan
ui2_len10cm_loss1,rise,35,00->10,168.10044830702728,2273.6646716778932,nan
ui2_len10cm_loss1,fall,36,01->01,170.10042469381895,885.3022530698415,nan
ui2_len10cm_loss1,rise,37,10->10,172.1004456552862,2252.3267387544265,nan
ui2_len10cm_loss1,fall,38,01->00,174.1004246466237,884.0705135352564,nan
ui2_len10cm_loss1,rise,39,00->10,178.10044826633182,2274.4117826419456,nan
ui2_len10cm_loss1,fall,40,01->00,180.100424690162,885.2940916923013,nan
ui2_len10cm_loss1,rise,41,00->10,188.1004476627937,2273.867733737134,nan
ui2_len10cm_loss1,fall,42,01->00,190.10042468468572,885.1844913341699,nan
ui2_len10cm_loss1,rise,43,00->11,194.10044829710392,2273.720522726823,935.4548220175569
ui2_len10cm_loss1,fall,44,11->00,200.1004258833702,955.6449836205348,170.24063302068095
ui2_len10cm_loss1,rise,45,00->10,204.10044833131343,2274.04347326765,nan
ui2_len10cm_loss1,fall,46,01->01,206.1004246826677,885.3540236412567,nan
ui2_len10cm_loss1,rise,47,10->11,208.10044565114097,2252.0180223779207,1007.7764158615321
ui2_len10cm_loss1,fall,48,11->01,212.10042576960765,949.5691057162401,171.2933999787642
ui2_len10cm_loss1,rise,49,10->10,214.10044518872226,2255.8872629899433,nan
ui2_len10cm_loss1,fall,50,01->00,216.10042463939112,883.5883654198445,nan
ui2_len10cm_loss1,rise,51,00->10,222.10044774023135,2273.802902885169,nan
ui2_len10cm_loss1,fall,52,01->00,224.10042469824995,885.2342139691775,nan
ui2_len10cm_loss1,rise,53,00->11,230.10044857370693,2273.622327502526,932.1661196869379
ui2_len10cm_loss1,fall,54,11->00,234.1004258288882,949.318817393656,171.95644107322565
ui2_len10cm_loss1,rise,55,00->11,238.1004483123228,2274.0769924962665,935.2001733041709
ui2_len10cm_loss1,fall,56,11->01,242.1004258464098,949.3428460316093,172.13659245968327
ui2_len10cm_loss1,rise,57,10->10,244.1004452364503,2255.9894989061418,nan
ui2_len10cm_loss1,fall,58,01->01,246.10042465455345,883.6253867790791,nan
ui2_len10cm_loss1,rise,59,10->10,248.10044569134277,2252.484134423462,nan
ui2_len10cm_loss1,fall,60,01->01,250.10042468497298,884.0856090771333,nan
ui2_len10cm_loss1,rise,61,10->10,252.10044568145645,2252.4079437849746,nan
ui2_len10cm_loss1,fall,62,01->00,254.1004246819353,884.0951873922988,nan
ui2_len10cm_loss1,rise,63,00->11,268.10044770656253,2273.6582541651674,933.9977801712793
